
CONFIGURATION_BEGIN
ProcessingMode,PORTFOLIO_REFRESH
CONFIGURATION_END

TYPE,SWAP
VERSION,5
ACTION,ADD
MODE,TABULAR
FIELDS
PORTFOLIO_NAME,PORTFOLIO_CUSTOM_ID,SWAP TYPE,ONE LEG DEALS PAY RECEIVE,SWAP COUNTERPARTY,PRIVILEGE,DEAL NOTIONAL,DEAL EFFECTIVE DATE,DEAL MATURITY DATE,CURRENCY,DAYS BEFORE ACCRUAL TYPE,DAYS BEFORE ACCRUAL,INDEX NAME,STRIKE,PAY FREQUENCY,DISTRIBUTION TYPE
LoanBoss Cap Volatility Update,LBCP4.000_05,CAP,RECEIVE,Max Power,FIRM,10000000,05/20/2025,06/20/2025,USD,Lookback,0,TSFR1M,4.0,M,Normal
LoanBoss Cap Volatility Update,LBCP4.001_06,CAP,RECEIVE,Max Power,FIRM,10000000,06/20/2025,07/20/2025,USD,Lookback,0,TSFR1M,4.0,M,Normal
LoanBoss Cap Volatility Update,LBCP4.002_07,CAP,RECEIVE,Max Power,FIRM,10000000,07/20/2025,08/20/2025,USD,Lookback,0,TSFR1M,4.0,M,Normal
LoanBoss Cap Volatility Update,LBCP4.003_08,CAP,RECEIVE,Max Power,FIRM,10000000,08/20/2025,09/20/2025,USD,Lookback,0,TSFR1M,4.0,M,Normal
LoanBoss Cap Volatility Update,LBCP4.004_09,CAP,RECEIVE,Max Power,FIRM,10000000,09/20/2025,10/20/2025,USD,Lookback,0,TSFR1M,4.0,M,Normal
LoanBoss Cap Volatility Update,LBCP4.005_10,CAP,RECEIVE,Max Power,FIRM,10000000,10/20/2025,11/20/2025,USD,Lookback,0,TSFR1M,4.0,M,Normal
LoanBoss Cap Volatility Update,LBCP4.006_11,CAP,RECEIVE,Max Power,FIRM,10000000,11/20/2025,12/20/2025,USD,Lookback,0,TSFR1M,4.0,M,Normal
LoanBoss Cap Volatility Update,LBCP4.007_12,CAP,RECEIVE,Max Power,FIRM,10000000,12/20/2025,01/20/2026,USD,Lookback,0,TSFR1M,4.0,M,Normal
LoanBoss Cap Volatility Update,LBCP4.008_01,CAP,RECEIVE,Max Power,FIRM,10000000,01/20/2026,02/20/2026,USD,Lookback,0,TSFR1M,4.0,M,Normal
LoanBoss Cap Volatility Update,LBCP4.009_02,CAP,RECEIVE,Max Power,FIRM,10000000,02/20/2026,03/20/2026,USD,Lookback,0,TSFR1M,4.0,M,Normal
LoanBoss Cap Volatility Update,LBCP4.010_03,CAP,RECEIVE,Max Power,FIRM,10000000,03/20/2026,04/20/2026,USD,Lookback,0,TSFR1M,4.0,M,Normal
LoanBoss Cap Volatility Update,LBCP4.011_04,CAP,RECEIVE,Max Power,FIRM,10000000,04/20/2026,05/20/2026,USD,Lookback,0,TSFR1M,4.0,M,Normal
